ham,I'm going to the store  want anything? #0
ham,Let's meet at 7pm #0
ham,Can you call me later? #0
ham,Happy birthday! #0
ham,Are we still on for lunch tomorrow? #0
spam,Congratulations! You've won a prize. Click here to claim. #0
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #0
spam,You have been selected for a $1000 gift card. Reply now! #0
spam,Winner! To collect your prize  send your details #0
spam,URGENT! Your account has been compromised. Verify now. #0
ham,I'm going to the store  want anything? #1
ham,Let's meet at 7pm #1
ham,Can you call me later? #1
ham,Happy birthday! #1
ham,Are we still on for lunch tomorrow? #1
spam,Congratulations! You've won a prize. Click here to claim. #1
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #1
spam,You have been selected for a $1000 gift card. Reply now! #1
spam,Winner! To collect your prize  send your details #1
spam,URGENT! Your account has been compromised. Verify now. #1
ham,I'm going to the store  want anything? #2
ham,Let's meet at 7pm #2
ham,Can you call me later? #2
ham,Happy birthday! #2
ham,Are we still on for lunch tomorrow? #2
spam,Congratulations! You've won a prize. Click here to claim. #2
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #2
spam,You have been selected for a $1000 gift card. Reply now! #2
spam,Winner! To collect your prize  send your details #2
spam,URGENT! Your account has been compromised. Verify now. #2
ham,I'm going to the store  want anything? #3
ham,Let's meet at 7pm #3
ham,Can you call me later? #3
ham,Happy birthday! #3
ham,Are we still on for lunch tomorrow? #3
spam,Congratulations! You've won a prize. Click here to claim. #3
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #3
spam,You have been selected for a $1000 gift card. Reply now! #3
spam,Winner! To collect your prize  send your details #3
spam,URGENT! Your account has been compromised. Verify now. #3
ham,I'm going to the store  want anything? #4
ham,Let's meet at 7pm #4
ham,Can you call me later? #4
ham,Happy birthday! #4
ham,Are we still on for lunch tomorrow? #4
spam,Congratulations! You've won a prize. Click here to claim. #4
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #4
spam,You have been selected for a $1000 gift card. Reply now! #4
spam,Winner! To collect your prize  send your details #4
spam,URGENT! Your account has been compromised. Verify now. #4
ham,I'm going to the store  want anything? #5
ham,Let's meet at 7pm #5
ham,Can you call me later? #5
ham,Happy birthday! #5
ham,Are we still on for lunch tomorrow? #5
spam,Congratulations! You've won a prize. Click here to claim. #5
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #5
spam,You have been selected for a $1000 gift card. Reply now! #5
spam,Winner! To collect your prize  send your details #5
spam,URGENT! Your account has been compromised. Verify now. #5
ham,I'm going to the store  want anything? #6
ham,Let's meet at 7pm #6
ham,Can you call me later? #6
ham,Happy birthday! #6
ham,Are we still on for lunch tomorrow? #6
spam,Congratulations! You've won a prize. Click here to claim. #6
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #6
spam,You have been selected for a $1000 gift card. Reply now! #6
spam,Winner! To collect your prize  send your details #6
spam,URGENT! Your account has been compromised. Verify now. #6
ham,I'm going to the store  want anything? #7
ham,Let's meet at 7pm #7
ham,Can you call me later? #7
ham,Happy birthday! #7
ham,Are we still on for lunch tomorrow? #7
spam,Congratulations! You've won a prize. Click here to claim. #7
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #7
spam,You have been selected for a $1000 gift card. Reply now! #7
spam,Winner! To collect your prize  send your details #7
spam,URGENT! Your account has been compromised. Verify now. #7
ham,I'm going to the store  want anything? #8
ham,Let's meet at 7pm #8
ham,Can you call me later? #8
ham,Happy birthday! #8
ham,Are we still on for lunch tomorrow? #8
spam,Congratulations! You've won a prize. Click here to claim. #8
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #8
spam,You have been selected for a $1000 gift card. Reply now! #8
spam,Winner! To collect your prize  send your details #8
spam,URGENT! Your account has been compromised. Verify now. #8
ham,I'm going to the store  want anything? #9
ham,Let's meet at 7pm #9
ham,Can you call me later? #9
ham,Happy birthday! #9
ham,Are we still on for lunch tomorrow? #9
spam,Congratulations! You've won a prize. Click here to claim. #9
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #9
spam,You have been selected for a $1000 gift card. Reply now! #9
spam,Winner! To collect your prize  send your details #9
spam,URGENT! Your account has been compromised. Verify now. #9
ham,I'm going to the store  want anything? #10
ham,Let's meet at 7pm #10
ham,Can you call me later? #10
ham,Happy birthday! #10
ham,Are we still on for lunch tomorrow? #10
spam,Congratulations! You've won a prize. Click here to claim. #10
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #10
spam,You have been selected for a $1000 gift card. Reply now! #10
spam,Winner! To collect your prize  send your details #10
spam,URGENT! Your account has been compromised. Verify now. #10
ham,I'm going to the store  want anything? #11
ham,Let's meet at 7pm #11
ham,Can you call me later? #11
ham,Happy birthday! #11
ham,Are we still on for lunch tomorrow? #11
spam,Congratulations! You've won a prize. Click here to claim. #11
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #11
spam,You have been selected for a $1000 gift card. Reply now! #11
spam,Winner! To collect your prize  send your details #11
spam,URGENT! Your account has been compromised. Verify now. #11
ham,I'm going to the store  want anything? #12
ham,Let's meet at 7pm #12
ham,Can you call me later? #12
ham,Happy birthday! #12
ham,Are we still on for lunch tomorrow? #12
spam,Congratulations! You've won a prize. Click here to claim. #12
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #12
spam,You have been selected for a $1000 gift card. Reply now! #12
spam,Winner! To collect your prize  send your details #12
spam,URGENT! Your account has been compromised. Verify now. #12
ham,I'm going to the store  want anything? #13
ham,Let's meet at 7pm #13
ham,Can you call me later? #13
ham,Happy birthday! #13
ham,Are we still on for lunch tomorrow? #13
spam,Congratulations! You've won a prize. Click here to claim. #13
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #13
spam,You have been selected for a $1000 gift card. Reply now! #13
spam,Winner! To collect your prize  send your details #13
spam,URGENT! Your account has been compromised. Verify now. #13
ham,I'm going to the store  want anything? #14
ham,Let's meet at 7pm #14
ham,Can you call me later? #14
ham,Happy birthday! #14
ham,Are we still on for lunch tomorrow? #14
spam,Congratulations! You've won a prize. Click here to claim. #14
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #14
spam,You have been selected for a $1000 gift card. Reply now! #14
spam,Winner! To collect your prize  send your details #14
spam,URGENT! Your account has been compromised. Verify now. #14
ham,I'm going to the store  want anything? #15
ham,Let's meet at 7pm #15
ham,Can you call me later? #15
ham,Happy birthday! #15
ham,Are we still on for lunch tomorrow? #15
spam,Congratulations! You've won a prize. Click here to claim. #15
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #15
spam,You have been selected for a $1000 gift card. Reply now! #15
spam,Winner! To collect your prize  send your details #15
spam,URGENT! Your account has been compromised. Verify now. #15
ham,I'm going to the store  want anything? #16
ham,Let's meet at 7pm #16
ham,Can you call me later? #16
ham,Happy birthday! #16
ham,Are we still on for lunch tomorrow? #16
spam,Congratulations! You've won a prize. Click here to claim. #16
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #16
spam,You have been selected for a $1000 gift card. Reply now! #16
spam,Winner! To collect your prize  send your details #16
spam,URGENT! Your account has been compromised. Verify now. #16
ham,I'm going to the store  want anything? #17
ham,Let's meet at 7pm #17
ham,Can you call me later? #17
ham,Happy birthday! #17
ham,Are we still on for lunch tomorrow? #17
spam,Congratulations! You've won a prize. Click here to claim. #17
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #17
spam,You have been selected for a $1000 gift card. Reply now! #17
spam,Winner! To collect your prize  send your details #17
spam,URGENT! Your account has been compromised. Verify now. #17
ham,I'm going to the store  want anything? #18
ham,Let's meet at 7pm #18
ham,Can you call me later? #18
ham,Happy birthday! #18
ham,Are we still on for lunch tomorrow? #18
spam,Congratulations! You've won a prize. Click here to claim. #18
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #18
spam,You have been selected for a $1000 gift card. Reply now! #18
spam,Winner! To collect your prize  send your details #18
spam,URGENT! Your account has been compromised. Verify now. #18
ham,I'm going to the store  want anything? #19
ham,Let's meet at 7pm #19
ham,Can you call me later? #19
ham,Happy birthday! #19
ham,Are we still on for lunch tomorrow? #19
spam,Congratulations! You've won a prize. Click here to claim. #19
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #19
spam,You have been selected for a $1000 gift card. Reply now! #19
spam,Winner! To collect your prize  send your details #19
spam,URGENT! Your account has been compromised. Verify now. #19
ham,I'm going to the store  want anything? #20
ham,Let's meet at 7pm #20
ham,Can you call me later? #20
ham,Happy birthday! #20
ham,Are we still on for lunch tomorrow? #20
spam,Congratulations! You've won a prize. Click here to claim. #20
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #20
spam,You have been selected for a $1000 gift card. Reply now! #20
spam,Winner! To collect your prize  send your details #20
spam,URGENT! Your account has been compromised. Verify now. #20
ham,I'm going to the store  want anything? #21
ham,Let's meet at 7pm #21
ham,Can you call me later? #21
ham,Happy birthday! #21
ham,Are we still on for lunch tomorrow? #21
spam,Congratulations! You've won a prize. Click here to claim. #21
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #21
spam,You have been selected for a $1000 gift card. Reply now! #21
spam,Winner! To collect your prize  send your details #21
spam,URGENT! Your account has been compromised. Verify now. #21
ham,I'm going to the store  want anything? #22
ham,Let's meet at 7pm #22
ham,Can you call me later? #22
ham,Happy birthday! #22
ham,Are we still on for lunch tomorrow? #22
spam,Congratulations! You've won a prize. Click here to claim. #22
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #22
spam,You have been selected for a $1000 gift card. Reply now! #22
spam,Winner! To collect your prize  send your details #22
spam,URGENT! Your account has been compromised. Verify now. #22
ham,I'm going to the store  want anything? #23
ham,Let's meet at 7pm #23
ham,Can you call me later? #23
ham,Happy birthday! #23
ham,Are we still on for lunch tomorrow? #23
spam,Congratulations! You've won a prize. Click here to claim. #23
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #23
spam,You have been selected for a $1000 gift card. Reply now! #23
spam,Winner! To collect your prize  send your details #23
spam,URGENT! Your account has been compromised. Verify now. #23
ham,I'm going to the store  want anything? #24
ham,Let's meet at 7pm #24
ham,Can you call me later? #24
ham,Happy birthday! #24
ham,Are we still on for lunch tomorrow? #24
spam,Congratulations! You've won a prize. Click here to claim. #24
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #24
spam,You have been selected for a $1000 gift card. Reply now! #24
spam,Winner! To collect your prize  send your details #24
spam,URGENT! Your account has been compromised. Verify now. #24
ham,I'm going to the store  want anything? #25
ham,Let's meet at 7pm #25
ham,Can you call me later? #25
ham,Happy birthday! #25
ham,Are we still on for lunch tomorrow? #25
spam,Congratulations! You've won a prize. Click here to claim. #25
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #25
spam,You have been selected for a $1000 gift card. Reply now! #25
spam,Winner! To collect your prize  send your details #25
spam,URGENT! Your account has been compromised. Verify now. #25
ham,I'm going to the store  want anything? #26
ham,Let's meet at 7pm #26
ham,Can you call me later? #26
ham,Happy birthday! #26
ham,Are we still on for lunch tomorrow? #26
spam,Congratulations! You've won a prize. Click here to claim. #26
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #26
spam,You have been selected for a $1000 gift card. Reply now! #26
spam,Winner! To collect your prize  send your details #26
spam,URGENT! Your account has been compromised. Verify now. #26
ham,I'm going to the store  want anything? #27
ham,Let's meet at 7pm #27
ham,Can you call me later? #27
ham,Happy birthday! #27
ham,Are we still on for lunch tomorrow? #27
spam,Congratulations! You've won a prize. Click here to claim. #27
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #27
spam,You have been selected for a $1000 gift card. Reply now! #27
spam,Winner! To collect your prize  send your details #27
spam,URGENT! Your account has been compromised. Verify now. #27
ham,I'm going to the store  want anything? #28
ham,Let's meet at 7pm #28
ham,Can you call me later? #28
ham,Happy birthday! #28
ham,Are we still on for lunch tomorrow? #28
spam,Congratulations! You've won a prize. Click here to claim. #28
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #28
spam,You have been selected for a $1000 gift card. Reply now! #28
spam,Winner! To collect your prize  send your details #28
spam,URGENT! Your account has been compromised. Verify now. #28
ham,I'm going to the store  want anything? #29
ham,Let's meet at 7pm #29
ham,Can you call me later? #29
ham,Happy birthday! #29
ham,Are we still on for lunch tomorrow? #29
spam,Congratulations! You've won a prize. Click here to claim. #29
spam,Free entry in 2 a weekly competition to win FA Cup final tickets #29
spam,You have been selected for a $1000 gift card. Reply now! #29
spam,Winner! To collect your prize  send your details #29
spam,URGENT! Your account has been compromised. Verify now. #29
